query_french,select_label,where_label
Veuillez me montrer le titre des films où Meryl Streep joue et Hugh Jackman joue.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
"Montrez-moi, s'il vous plaît, les films dans lesquels Meryl Streep et Hugh Jackman apparaissent.",select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous me donner les titres des films dans lesquels Meryl Streep et Hugh Jackman se produisent ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Je souhaiterais connaître les films où Meryl Streep et Hugh Jackman ont un rôle.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Quels sont les titres des films avec Meryl Streep et Hugh Jackman ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pouvez-vous me dire quels films mettent en vedette Meryl Streep et Hugh Jackman ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pouvez-vous me montrer le titre des films dans lesquels Keanu Reeves et Hugh Jackman jouent ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous me dire quels films mettent en scène Keanu Reeves et Hugh Jackman ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Est-ce que vous pourriez me montrer les films avec Keanu Reeves et Hugh Jackman ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
"Je souhaiterais connaître les titres des films avec Keanu Reeves et Hugh Jackman, s'il vous plaît.",select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
